id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
pcg_641,Cheltuieli cu salariile personalului,641,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6421,Cheltuieli cu avantajele în natură acordate salariaților,6421,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6422,Cheltuieli cu tichetele acordate salariaților,6422,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_643,Cheltuieli cu remunerarea în instrumente de capitaluri proprii,643,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_644,Cheltuieli cu primele reprezentând participarea personalului la profit,644,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6451,Cheltuieli privind contribuția unității la asigurările sociale,6451,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6452,Cheltuieli privind contribuția unității pentru ajutorul de șomaj,6452,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6453,Cheltuieli privind contribuția angajatorului pentru asigurările sociale de sănătate,6453,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6455,Cheltuieli privind contribuția unității la asigurările de viață,6455,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6456,Cheltuieli privind contribuția unității la fondurile de pensii facultative,6456,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6457,Cheltuieli privind contribuția unității la primele de asigurare voluntară de sănătate,6457,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6458,Alte cheltuieli privind asigurările și protecția socială,6458,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_646,Cheltuieli privind contribuția asiguratorie pentru muncă,646,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_staff_costs,False
pcg_6511,Cheltuieli ocazionate de constituirea fiduciei,6511,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_6512,Cheltuieli din derularea operațiunilor de fiducie,6512,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_6513,Cheltuieli din lichidarea operațiunilor de fiducie,6513,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_652,Cheltuieli cu protecția mediului înconjurător,652,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
pcg_654,Pierderi din creanțe și debitori diverși,654,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_value_adjust_assets,False
pcg_655,Cheltuieli din reevaluarea imobilizărilor corporale,655,account.data_account_type_expenses,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_expenses,False
