id,name,chart_template_id/id,code,account_type,reconcile
egy_account_201007,Accrued - Commissions,l10n_eg.egypt_chart_template_standard,201007,data_account_type_current_liabilities,False
egy_account_201008,Accrued Salaries Increment,l10n_eg.egypt_chart_template_standard,201008,data_account_type_current_liabilities,False
egy_account_201009,Accrued-Staff Bonus,l10n_eg.egypt_chart_template_standard,201009,data_account_type_current_liabilities,False
egy_account_201010,Accrued Other Personnel Cost,l10n_eg.egypt_chart_template_standard,201010,data_account_type_current_liabilities,False
egy_account_201011,Accrued - Utilities,l10n_eg.egypt_chart_template_standard,201011,data_account_type_current_liabilities,False
egy_account_201012,Accrued - Telephone,l10n_eg.egypt_chart_template_standard,201012,data_account_type_current_liabilities,False
egy_account_201013,Accrued - Sponsorship,l10n_eg.egypt_chart_template_standard,201013,data_account_type_current_liabilities,False
egy_account_201014,Accrued - Audit Fees,l10n_eg.egypt_chart_template_standard,201014,data_account_type_current_liabilities,False
egy_account_201015,Accrued - Office Rent,l10n_eg.egypt_chart_template_standard,201015,data_account_type_current_liabilities,False
egy_account_201016,Accrued Others,l10n_eg.egypt_chart_template_standard,201016,data_account_type_current_liabilities,False
egy_account_201017,VAT Output,l10n_eg.egypt_chart_template_standard,201017,data_account_type_current_liabilities,False
egy_account_201018,Deferred income,l10n_eg.egypt_chart_template_standard,201018,data_account_type_current_liabilities,False
egy_account_201020,WHTax Payable - On behalf of suppliers,l10n_eg.egypt_chart_template_standard,201020,data_account_type_current_liabilities,False
egy_account_201021,Legal Reserve,l10n_eg.egypt_chart_template_standard,201021,data_account_type_current_liabilities,False
egy_account_201022,Taxes Provision,l10n_eg.egypt_chart_template_standard,201022,data_account_type_current_liabilities,False
egy_account_201023,Customer Provision,l10n_eg.egypt_chart_template_standard,201023,data_account_type_current_liabilities,False
egy_account_201024,Schedule Tax collected & payable,l10n_eg.egypt_chart_template_standard,201024,data_account_type_current_liabilities,False
egy_account_201025,Stamp Tax payable,l10n_eg.egypt_chart_template_standard,201025,data_account_type_current_liabilities,False
egy_account_201026,Social Contribution - Payable to authorities,l10n_eg.egypt_chart_template_standard,201026,data_account_type_current_liabilities,False
egy_account_201027,Income Tax payable to Authority - Deducted from employee's salaries,l10n_eg.egypt_chart_template_standard,201027,data_account_type_current_liabilities,False
egy_account_202001,End of Service Provision,l10n_eg.egypt_chart_template_standard,202001,data_account_type_non_current_liabilities,False
egy_account_202002,Reservations,l10n_eg.egypt_chart_template_standard,202002,data_account_type_non_current_liabilities,False
egy_account_202003,VAT Payable,l10n_eg.egypt_chart_template_standard,202003,data_account_type_non_current_liabilities,False
egy_account_400001,Cost of Goods Sold in Trading,l10n_eg.egypt_chart_template_standard,400001,data_account_type_direct_costs,False
egy_account_400002,Cost Of Goods Sold I/C Sales,l10n_eg.egypt_chart_template_standard,400002,data_account_type_direct_costs,False
egy_account_400003,Basic Salary,l10n_eg.egypt_chart_template_standard,400003,data_account_type_expenses,False
egy_account_400004,Housing Allowance,l10n_eg.egypt_chart_template_standard,400004,data_account_type_expenses,False
egy_account_400005,Transportation Allowance,l10n_eg.egypt_chart_template_standard,400005,data_account_type_expenses,False
egy_account_400006,Leave Ticket,l10n_eg.egypt_chart_template_standard,400006,data_account_type_expenses,False
egy_account_400007,Leave Salary,l10n_eg.egypt_chart_template_standard,400007,data_account_type_expenses,False
egy_account_400008,End Of Service Indemnity,l10n_eg.egypt_chart_template_standard,400008,data_account_type_expenses,False
egy_account_400009,Medical Insurance,l10n_eg.egypt_chart_template_standard,400009,data_account_type_expenses,False
egy_account_400010,Life Insurance,l10n_eg.egypt_chart_template_standard,400010,data_account_type_expenses,False
egy_account_400011,Sales Commission,l10n_eg.egypt_chart_template_standard,400011,data_account_type_expenses,False
egy_account_400012,Staff Other Allowances,l10n_eg.egypt_chart_template_standard,400012,data_account_type_expenses,False
egy_account_400013,Uniform,l10n_eg.egypt_chart_template_standard,400013,data_account_type_expenses,False
egy_account_400014,Visa Expenses,l10n_eg.egypt_chart_template_standard,400014,data_account_type_expenses,False
egy_account_400015,Personnel Cost Others,l10n_eg.egypt_chart_template_standard,400015,data_account_type_expenses,False
egy_account_400016,Office Rent,l10n_eg.egypt_chart_template_standard,400016,data_account_type_expenses,False
egy_account_400017,Warehouse Rent,l10n_eg.egypt_chart_template_standard,400017,data_account_type_expenses,False
egy_account_400018,Water & Electricity,l10n_eg.egypt_chart_template_standard,400018,data_account_type_expenses,False
egy_account_400019,Other Utility Cahrges,l10n_eg.egypt_chart_template_standard,400019,data_account_type_expenses,False
egy_account_400020,Telephone,l10n_eg.egypt_chart_template_standard,400020,data_account_type_expenses,False
egy_account_400021,Courrier,l10n_eg.egypt_chart_template_standard,400021,data_account_type_expenses,False
egy_account_400022,Web Site Hosting Fees,l10n_eg.egypt_chart_template_standard,400022,data_account_type_expenses,False
egy_account_400023,Others - Communication,l10n_eg.egypt_chart_template_standard,400023,data_account_type_expenses,False
egy_account_400024,Air tickets,l10n_eg.egypt_chart_template_standard,400024,data_account_type_expenses,False
egy_account_400025,Hotel,l10n_eg.egypt_chart_template_standard,400025,data_account_type_expenses,False
egy_account_400026,Meals,l10n_eg.egypt_chart_template_standard,400026,data_account_type_expenses,False
egy_account_400027,Per Diem,l10n_eg.egypt_chart_template_standard,400027,data_account_type_expenses,False
egy_account_400028,Others,l10n_eg.egypt_chart_template_standard,400028,data_account_type_expenses,False
egy_account_400029,Audit Fees,l10n_eg.egypt_chart_template_standard,400029,data_account_type_expenses,False
