id,Name,code,user_type_id/id,reconcile
ee_coa_111128,Provision for warranty,111128,data_account_type_payable,FALSE
ee_coa_111129,Provision for taxation,111129,data_account_type_payable,FALSE
,Other provision,,data_account_type_non_current_liabilities,
ee_coa_111501,Short-term loans and notes,111501,data_account_type_non_current_liabilities,FALSE
ee_coa_111502,Current portion of long-term debt obligations,111502,data_account_type_non_current_liabilities,FALSE
ee_coa_111503,Current portion of long-term financial lease liabilities,111503,data_account_type_non_current_liabilities,FALSE
,,,,
,,,,
ee_coa_200100,Income account,200100,data_account_type_revenue,TRUE
ee_coa_200101,Sale of goods in Estonia ,200101,data_account_type_revenue,FALSE
ee_coa_200102,Sale of services in Estonia ,200102,data_account_type_revenue,FALSE
ee_coa_200103,Sale of goods in the EU ,200103,data_account_type_revenue,FALSE
ee_coa_200104,Sale of services in the EU ,200104,data_account_type_revenue,FALSE
,Other operating revenue,,data_account_type_revenue,
ee_coa_200105,Turnover,200105,data_account_type_revenue,FALSE
ee_coa_200106,Asset sales ,200106,data_account_type_revenue,FALSE
ee_coa_200107,Asset sales intermediate account,200107,data_account_type_revenue,FALSE
ee_coa_200109,Profit from sale of fixed assets,200109,data_account_type_revenue,FALSE
ee_coa_201101,Fines for delay at the expense of buyers,201101,data_account_type_revenue,FALSE
ee_coa_201102,Exchange gains from settlements with buyers and suppliers,201102,data_account_type_revenue,FALSE
ee_coa_201104,Financial income – shares in subsidiaries,201104,data_account_type_revenue,FALSE
ee_coa_201105,Financial income – shares in associated undertakings,201105,data_account_type_revenue,FALSE
ee_coa_201106,Financial income – other long-term financial investments,201106,data_account_type_revenue,FALSE
ee_coa_201107,Interest income,201107,data_account_type_revenue,FALSE
ee_coa_201108,Gains on exchange of foreign currency,201108,data_account_type_revenue,FALSE
ee_coa_201200,Revenues for future periods received in advance,201200,data_account_type_revenue,FALSE
ee_coa_201201,Deferred income from targeted financing,201201,data_account_type_revenue,FALSE
ee_coa_201301,Other operating revenue,201301,data_account_type_other_income,FALSE
ee_coa_201302,Other financial income,201302,data_account_type_other_income,FALSE
ee_coa_201303,Special income,201303,data_account_type_other_income,FALSE
,,,,
,,,,
,,,,
,,,,
ee_coa_202100,Expense account,202100,data_account_type_expenses,FALSE
,Cost of goods sold,,,
ee_coa_202102,Purchase of goods in Estonia ,202102,data_account_type_expenses,FALSE
ee_coa_202103,Purchase of services in Estonia ,202103,data_account_type_expenses,FALSE
ee_coa_202104,Purchase of goods in the EU ,202104,data_account_type_expenses,FALSE
ee_coa_202105,Purchase of services in the EU ,202105,data_account_type_expenses,FALSE
,,,,
ee_coa_202107,"Instructions, packaging",202107,data_account_type_expenses,FALSE
ee_coa_202108,Handing expenses for goods at purchase,202108,data_account_type_expenses,FALSE
ee_coa_202109,Customs expenses,202109,data_account_type_expenses,FALSE
ee_coa_202110,Transportation expense at purchase,202110,data_account_type_expenses,FALSE
,,,,
ee_coa_202111,Other operating costs,202111,data_account_type_expenses,FALSE
ee_coa_202112,Lease expenses,202112,data_account_type_expenses,FALSE
ee_coa_202113,"Utilities (electricity, water, heat, administrative)",202113,data_account_type_expenses,FALSE
ee_coa_202114,Office or workshop maintenance,202114,data_account_type_expenses,FALSE
ee_coa_202115,Office of workshop insurance,202115,data_account_type_expenses,FALSE
ee_coa_202116,Office or workshop security costs,202116,data_account_type_expenses,FALSE
ee_coa_202117,"Office products, postage",202117,data_account_type_expenses,FALSE
ee_coa_202118,Office inventory maintenance and repair,202118,data_account_type_expenses,FALSE
ee_coa_202119,Computer and network maintenance,202119,data_account_type_expenses,FALSE
ee_coa_202120,Information and education materials,202120,data_account_type_expenses,FALSE
ee_coa_202121,Periodicals,202121,data_account_type_expenses,FALSE
ee_coa_202122,Desktop telephone costs,202122,data_account_type_expenses,FALSE
ee_coa_202123,Mobile telephone calls,202123,data_account_type_expenses,FALSE
ee_coa_202124,Internet,202124,data_account_type_expenses,FALSE
ee_coa_202125,Banking services,202125,data_account_type_expenses,FALSE
ee_coa_202126,"Legal expenses, contract fees",202126,data_account_type_expenses,FALSE
ee_coa_202127,State fees,202127,data_account_type_expenses,FALSE
ee_coa_202128,Consultation costs,202128,data_account_type_expenses,FALSE
ee_coa_202129,Accounting services,202129,data_account_type_expenses,FALSE
ee_coa_202130,Advertising,202130,data_account_type_expenses,FALSE
ee_coa_202131,Motor fuel,202131,data_account_type_expenses,FALSE
ee_coa_202132,Car maintenance and repairs,202132,data_account_type_expenses,FALSE
ee_coa_202133,Car insurance,202133,data_account_type_expenses,FALSE
ee_coa_202134,Compensation for the use of a personal car,202134,data_account_type_expenses,FALSE
ee_coa_202135,Car rental,202135,data_account_type_expenses,FALSE
ee_coa_202136,Travel expenses,202136,data_account_type_expenses,FALSE
ee_coa_202137,In-service training for personnel,202137,data_account_type_expenses,FALSE
ee_coa_202138,Occupational health and safety,202138,data_account_type_expenses,FALSE
ee_coa_202139,Workers' compensation for sports,202139,data_account_type_expenses,FALSE
ee_coa_202140,Fringe benefits expense,202140,data_account_type_expenses,FALSE
ee_coa_202141,Transportation and forwarding costs,202141,data_account_type_expenses,FALSE
ee_coa_202142,Costs of entertaining guests,202142,data_account_type_expenses,FALSE
ee_coa_202143,Bad debts expense,202143,data_account_type_expenses,FALSE
ee_coa_202144,Irrecoverable receivables,202144,data_account_type_expenses,FALSE
ee_coa_202145,Other marketing costs,202145,data_account_type_expenses,FALSE
ee_coa_202146,Other administrative expenditures,202146,data_account_type_expenses,FALSE
ee_coa_202147,Wages and salaries,202147,data_account_type_expenses,FALSE
ee_coa_202149,Unemployment insurance costs,202149,data_account_type_expenses,FALSE
ee_coa_202150,Pension expenses,202150,data_account_type_expenses,FALSE
ee_coa_202151,Loss from selling fixed assets,202151,data_account_type_expenses,FALSE
ee_coa_202152,Loss from sale of investment properties,202152,data_account_type_expenses,FALSE
ee_coa_202153,Expenses not related to business,202153,data_account_type_expenses,FALSE
ee_coa_202154,Gifts and donations,202154,data_account_type_expenses,FALSE
ee_coa_202155,Exchange losses from settlements with buyers and suppliers,202155,data_account_type_expenses,FALSE
ee_coa_202156,Membership fees for associations,202156,data_account_type_expenses,FALSE
ee_coa_202157,Fines and fines for delay,202157,data_account_type_expenses,FALSE
ee_coa_202159,Financial expenses – from shares in subsidiaries,202159,data_account_type_expenses,FALSE
ee_coa_202160,Financial expenses – from shares in associated undertakings,202160,data_account_type_expenses,FALSE
ee_coa_202161,Financial expenses – from other long-term financial investments,202161,data_account_type_expenses,FALSE
ee_coa_202162,Interest expenses,202162,data_account_type_expenses,FALSE
ee_coa_202163,Loss on exchange of foreign currency,202163,data_account_type_expenses,FALSE
ee_coa_202164,Other financial expenses,202164,data_account_type_expenses,FALSE
ee_coa_202165,Special expenses,202165,data_account_type_expenses,FALSE
ee_coa_202166,Development costs,202166,data_account_type_expenses,FALSE
ee_coa_202167,Holiday reserve,202167,data_account_type_expenses,FALSE
,,,,
,,,,
,,,,
ee_coa_205000,Accumulated depreciation –  investment properties,205000,data_account_type_depreciation,FALSE
ee_coa_205001,Accumulated depreciation –  buildings,205001,data_account_type_depreciation,FALSE
ee_coa_205002,Accumulated depreciation –  machinery and equipment,205002,data_account_type_depreciation,FALSE
ee_coa_205003,Accumulated depreciation –  other tangible assets,205003,data_account_type_depreciation,FALSE
ee_coa_205004,Accumulated depreciation –  computers and computer systems,205004,data_account_type_depreciation,FALSE
ee_coa_205005,Accumulated depreciation –  means of transportation,205005,data_account_type_depreciation,FALSE
ee_coa_205006,Accumulated depreciation –  other intangible assets,205006,data_account_type_depreciation,FALSE
ee_coa_250001,Prepaid expenses for future periods,250001,data_account_type_prepayments,FALSE
ee_coa_250002,Prepayments to suppliers,250002,data_account_type_prepayments,FALSE
ee_coa_250003,Prepayments for tangible assets,250003,data_account_type_prepayments,FALSE
ee_coa_250004,Prepayments for intangible assets,250004,data_account_type_prepayments,FALSE
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ee_coa_,Tax – fringe benefit social tax debt,,data_account_type_payable,FALSE
ee_coa_,Tax – income tax on fringe benefits,,,FALSE
ee_coa_,Tax – income tax on the costs of entertaining guests,,,FALSE
ee_coa_,Tax – land tax ,,,FALSE
ee_coa_,Tax – personal income tax debt,,,FALSE
ee_coa_,Tax – social tax arrears,,,FALSE
ee_coa_,Tax – social tax on fringe benefits (33%),,,FALSE
