id,chart_template_id:id,code,name,account_type,reconcile
nz_21600,l10n_nz.l10n_nz_chart_template,21600,Customer Deposits,data_account_type_current_liabilities,FALSE
nz_21700,l10n_nz.l10n_nz_chart_template,21700,Other Current Liabilities,data_account_type_current_liabilities,FALSE
nz_22100,l10n_nz.l10n_nz_chart_template,22100,Mortgages Payable,data_account_type_non_current_liabilities,FALSE
nz_22200,l10n_nz.l10n_nz_chart_template,22200,Notes Payable,data_account_type_non_current_liabilities,FALSE
nz_22300,l10n_nz.l10n_nz_chart_template,22300,Other Long Term Liabilities,data_account_type_non_current_liabilities,FALSE
nz_31100,l10n_nz.l10n_nz_chart_template,31100,Capital Investment,data_account_type_equity,FALSE
nz_31200,l10n_nz.l10n_nz_chart_template,31200,Capital Drawings,data_account_type_equity,FALSE
nz_38000,l10n_nz.l10n_nz_chart_template,38000,Retained Earnings,data_account_type_equity,FALSE
nz_39000,l10n_nz.l10n_nz_chart_template,39000,Current Year Earnings,data_unaffected_earnings,FALSE
nz_39999,l10n_nz.l10n_nz_chart_template,39999,Historical Balancing,data_account_type_equity,FALSE
nz_41110,l10n_nz.l10n_nz_chart_template,41110,Sales Product #1,data_account_type_revenue,FALSE
nz_41120,l10n_nz.l10n_nz_chart_template,41120,Sales Product #2,data_account_type_revenue,FALSE
nz_41130,l10n_nz.l10n_nz_chart_template,41130,Sales Product #3,data_account_type_revenue,FALSE
nz_42000,l10n_nz.l10n_nz_chart_template,42000,Wholesale Sales,data_account_type_revenue,FALSE
nz_43000,l10n_nz.l10n_nz_chart_template,43000,Consignment Sales,data_account_type_revenue,FALSE
nz_44000,l10n_nz.l10n_nz_chart_template,44000,Freight Income,data_account_type_revenue,FALSE
nz_45000,l10n_nz.l10n_nz_chart_template,45000,Late Fees Collected,data_account_type_other_income,FALSE
nz_46000,l10n_nz.l10n_nz_chart_template,46000,Miscellaneous Income,data_account_type_other_income,FALSE
nz_47000,l10n_nz.l10n_nz_chart_template,47000,Fuel Tax Credits,data_account_type_other_income,FALSE
nz_51110,l10n_nz.l10n_nz_chart_template,51110,Cost of Goods Sold #1,data_account_type_direct_costs,FALSE
nz_51120,l10n_nz.l10n_nz_chart_template,51120,Cost of Goods Sold # 2,data_account_type_direct_costs,FALSE
nz_51130,l10n_nz.l10n_nz_chart_template,51130,Cost of Goods Sold # 3,data_account_type_direct_costs,FALSE
nz_52000,l10n_nz.l10n_nz_chart_template,52000,Wholesale Cost of Sales,data_account_type_direct_costs,FALSE
nz_53000,l10n_nz.l10n_nz_chart_template,53000,Consignment Cost of Sales,data_account_type_direct_costs,FALSE
nz_54000,l10n_nz.l10n_nz_chart_template,54000,Wages for Production Labour,data_account_type_direct_costs,FALSE
nz_55000,l10n_nz.l10n_nz_chart_template,55000,Materials & Supplies,data_account_type_direct_costs,FALSE
nz_56000,l10n_nz.l10n_nz_chart_template,56000,Freight,data_account_type_direct_costs,FALSE
nz_57000,l10n_nz.l10n_nz_chart_template,57000,Other Costs,data_account_type_direct_costs,FALSE
nz_61000,l10n_nz.l10n_nz_chart_template,61000,Advertising,data_account_type_expenses,FALSE
nz_61200,l10n_nz.l10n_nz_chart_template,61200,Car & Truck Expenses,data_account_type_expenses,FALSE
nz_61300,l10n_nz.l10n_nz_chart_template,61300,Commissions Paid,data_account_type_expenses,FALSE
nz_61500,l10n_nz.l10n_nz_chart_template,61500,Depreciation Expense,data_account_type_depreciation,FALSE
