id,code,name,account_type,reconcile,chart_template_id:id
l10n_ie_a7300,7300,Car hire,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7301,7301,Car fuel,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7302,7302,Car maintenance,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7502,7502,Telephone,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7503,7503,Internet & hosting,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7504,7504,Mobiles,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7505,7505,Stationery,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7506,7506,Office consumables,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7507,7507,Postage and Carriage,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7508,7508,Books,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7509,7509,Network costs,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7510,7510,Software expenses,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7511,7511,Other computer costs,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7512,7512,Recruitment fees,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7513,7513,Other admin expenses,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7700,7700,Exchange gains/losses,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7710,7710,Other sundry expenses,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7850,7850,Bad debts,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a7910,7910,"Bank, credit card and other financial charges",data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8000,8000,Intangible assets depn,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8001,8001,Tangible assets depn,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8200,8200,Donations,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8300,8300,Entertaining,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8400,8400,Insurance,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8500,8500,Travel and subsistence,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a9000,9000,Profits/Losses on disposals of assets,data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4900,4900,Bank Interest received,data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4910,4910,Investment Interest received,data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a7900,7900,Interest paid,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8800,8800,Corporation tax expense,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a2240,2240,Universal Social Charge USC,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a2250,2250,PRSI Employee,data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a2260,2260,PRSI Employer,data_account_type_expenses,FALSE,l10n_ie
